target_feature,influencing_features
server.cpu_wait_util_pct,"server.cpu_active_count, server.cpu_clock_speed_mhz, server.cpu_core_count, server.cpu_count, server.cpu_idle_time_s, server.cpu_interrupt_util_pct, server.cpu_run_queue, server.cpu_sys_mode_util_pct, server.cpu_thread_count, server.cpu_total_time_s, server.cpu_user_mode_util_pct, server.cpu_util_pct, server.cpu_wait_time_s, server.load_avg_1min, server.mem_cache_mb, server.mem_cache_util_pct, server.mem_file_page_cache_mb, server.mem_file_page_cache_util_pct, server.mem_free_mb, server.mem_free_util_pct, server.mem_page_request_count_per_s, server.mem_pagein_count_per_s, server.mem_pageout_count_per_s, server.mem_phys_mb, server.mem_sys_mb, server.mem_sys_util_pct, server.mem_user_mb, server.mem_user_util_pct, server.mem_util_pct, server.disk_count, server.disk_peak_util_pct, server.disk_phys_io_count, server.disk_phys_io_count_per_s, server.disk_phys_kbps, server.disk_phys_read_kbps, server.disk_phys_write_kbps, server.disk_request_queue_count, server.fs_peak_util_pct, server.net_collision_count_per_min, server.net_error_count_per_min, server.net_error_count_per_s, server.net_in_packet_count, server.net_in_packet_count_per_s, server.net_out_packet_count, server.net_out_packet_count_per_s, server.net_packet_count_per_s"
server.load_avg_1min,"server.cpu_active_count, server.cpu_clock_speed_mhz, server.cpu_core_count, server.cpu_count, server.cpu_idle_time_s, server.cpu_interrupt_util_pct, server.cpu_run_queue, server.cpu_sys_mode_util_pct, server.cpu_thread_count, server.cpu_total_time_s, server.cpu_user_mode_util_pct, server.cpu_util_pct, server.cpu_wait_time_s, server.cpu_wait_util_pct, server.mem_cache_mb, server.mem_cache_util_pct, server.mem_file_page_cache_mb, server.mem_file_page_cache_util_pct, server.mem_free_mb, server.mem_free_util_pct, server.mem_page_request_count_per_s, server.mem_pagein_count_per_s, server.mem_pageout_count_per_s, server.mem_phys_mb, server.mem_sys_mb, server.mem_sys_util_pct, server.mem_user_mb, server.mem_user_util_pct, server.mem_util_pct, server.disk_count, server.disk_peak_util_pct, server.disk_phys_io_count, server.disk_phys_io_count_per_s, server.disk_phys_kbps, server.disk_phys_read_kbps, server.disk_phys_write_kbps, server.disk_request_queue_count, server.fs_peak_util_pct, server.net_collision_count_per_min, server.net_error_count_per_min, server.net_error_count_per_s, server.net_in_packet_count, server.net_in_packet_count_per_s, server.net_out_packet_count, server.net_out_packet_count_per_s, server.net_packet_count_per_s"
server.mem_cache_mb,"server.cpu_active_count, server.cpu_clock_speed_mhz, server.cpu_core_count, server.cpu_count, server.cpu_idle_time_s, server.cpu_interrupt_util_pct, server.cpu_run_queue, server.cpu_sys_mode_util_pct, server.cpu_thread_count, server.cpu_total_time_s, server.cpu_user_mode_util_pct, server.cpu_util_pct, server.cpu_wait_time_s, server.cpu_wait_util_pct, server.load_avg_1min, server.mem_cache_util_pct, server.mem_file_page_cache_mb, server.mem_file_page_cache_util_pct, server.mem_free_mb, server.mem_free_util_pct, server.mem_page_request_count_per_s, server.mem_pagein_count_per_s, server.mem_pageout_count_per_s, server.mem_phys_mb, server.mem_sys_mb, server.mem_sys_util_pct, server.mem_user_mb, server.mem_user_util_pct, server.mem_util_pct, server.disk_count, server.disk_peak_util_pct, server.disk_phys_io_count, server.disk_phys_io_count_per_s, server.disk_phys_kbps, server.disk_phys_read_kbps, server.disk_phys_write_kbps, server.disk_request_queue_count, server.fs_peak_util_pct, server.net_collision_count_per_min, server.net_error_count_per_min, server.net_error_count_per_s, server.net_in_packet_count, server.net_in_packet_count_per_s, server.net_out_packet_count, server.net_out_packet_count_per_s, server.net_packet_count_per_s"
server.mem_cache_util_pct,"server.cpu_active_count, server.cpu_clock_speed_mhz, server.cpu_core_count, server.cpu_count, server.cpu_idle_time_s, server.cpu_interrupt_util_pct, server.cpu_run_queue, server.cpu_sys_mode_util_pct, server.cpu_thread_count, server.cpu_total_time_s, server.cpu_user_mode_util_pct, server.cpu_util_pct, server.cpu_wait_time_s, server.cpu_wait_util_pct, server.load_avg_1min, server.mem_cache_mb, server.mem_file_page_cache_mb, server.mem_file_page_cache_util_pct, server.mem_free_mb, server.mem_free_util_pct, server.mem_page_request_count_per_s, server.mem_pagein_count_per_s, server.mem_pageout_count_per_s, server.mem_phys_mb, server.mem_sys_mb, server.mem_sys_util_pct, server.mem_user_mb, server.mem_user_util_pct, server.mem_util_pct, server.disk_count, server.disk_peak_util_pct, server.disk_phys_io_count, server.disk_phys_io_count_per_s, server.disk_phys_kbps, server.disk_phys_read_kbps, server.disk_phys_write_kbps, server.disk_request_queue_count, server.fs_peak_util_pct, server.net_collision_count_per_min, server.net_error_count_per_min, server.net_error_count_per_s, server.net_in_packet_count, server.net_in_packet_count_per_s, server.net_out_packet_count, server.net_out_packet_count_per_s, server.net_packet_count_per_s"
server.mem_file_page_cache_mb,"server.cpu_active_count, server.cpu_clock_speed_mhz, server.cpu_core_count, server.cpu_count, server.cpu_idle_time_s, server.cpu_interrupt_util_pct, server.cpu_run_queue, server.cpu_sys_mode_util_pct, server.cpu_thread_count, server.cpu_total_time_s, server.cpu_user_mode_util_pct, server.cpu_util_pct, server.cpu_wait_time_s, server.cpu_wait_util_pct, server.load_avg_1min, server.mem_cache_mb, server.mem_cache_util_pct, server.mem_file_page_cache_util_pct, server.mem_free_mb, server.mem_free_util_pct, server.mem_page_request_count_per_s, server.mem_pagein_count_per_s, server.mem_pageout_count_per_s, server.mem_phys_mb, server.mem_sys_mb, server.mem_sys_util_pct, server.mem_user_mb, server.mem_user_util_pct, server.mem_util_pct, server.disk_count, server.disk_peak_util_pct, server.disk_phys_io_count, server.disk_phys_io_count_per_s, server.disk_phys_kbps, server.disk_phys_read_kbps, server.disk_phys_write_kbps, server.disk_request_queue_count, server.fs_peak_util_pct, server.net_collision_count_per_min, server.net_error_count_per_min, server.net_error_count_per_s, server.net_in_packet_count, server.net_in_packet_count_per_s, server.net_out_packet_count, server.net_out_packet_count_per_s, server.net_packet_count_per_s"
server.mem_file_page_cache_util_pct,"server.cpu_active_count, server.cpu_clock_speed_mhz, server.cpu_core_count, server.cpu_count, server.cpu_idle_time_s, server.cpu_interrupt_util_pct, server.cpu_run_queue, server.cpu_sys_mode_util_pct, server.cpu_thread_count, server.cpu_total_time_s, server.cpu_user_mode_util_pct, server.cpu_util_pct, server.cpu_wait_time_s, server.cpu_wait_util_pct, server.load_avg_1min, server.mem_cache_mb, server.mem_cache_util_pct, server.mem_file_page_cache_mb, server.mem_free_mb, server.mem_free_util_pct, server.mem_page_request_count_per_s, server.mem_pagein_count_per_s, server.mem_pageout_count_per_s, server.mem_phys_mb, server.mem_sys_mb, server.mem_sys_util_pct, server.mem_user_mb, server.mem_user_util_pct, server.mem_util_pct, server.disk_count, server.disk_peak_util_pct, server.disk_phys_io_count, server.disk_phys_io_count_per_s, server.disk_phys_kbps, server.disk_phys_read_kbps, server.disk_phys_write_kbps, server.disk_request_queue_count, server.fs_peak_util_pct, server.net_collision_count_per_min, server.net_error_count_per_min, server.net_error_count_per_s, server.net_in_packet_count, server.net_in_packet_count_per_s, server.net_out_packet_count, server.net_out_packet_count_per_s, server.net_packet_count_per_s"
server.mem_free_mb,"server.cpu_active_count, server.cpu_clock_speed_mhz, server.cpu_core_count, server.cpu_count, server.cpu_idle_time_s, server.cpu_interrupt_util_pct, server.cpu_run_queue, server.cpu_sys_mode_util_pct, server.cpu_thread_count, server.cpu_total_time_s, server.cpu_user_mode_util_pct, server.cpu_util_pct, server.cpu_wait_time_s, server.cpu_wait_util_pct, server.load_avg_1min, server.mem_cache_mb, server.mem_cache_util_pct, server.mem_file_page_cache_mb, server.mem_file_page_cache_util_pct, server.mem_free_util_pct, server.mem_page_request_count_per_s, server.mem_pagein_count_per_s, server.mem_pageout_count_per_s, server.mem_phys_mb, server.mem_sys_mb, server.mem_sys_util_pct, server.mem_user_mb, server.mem_user_util_pct, server.mem_util_pct, server.disk_count, server.disk_peak_util_pct, server.disk_phys_io_count, server.disk_phys_io_count_per_s, server.disk_phys_kbps, server.disk_phys_read_kbps, server.disk_phys_write_kbps, server.disk_request_queue_count, server.fs_peak_util_pct, server.net_collision_count_per_min, server.net_error_count_per_min, server.net_error_count_per_s, server.net_in_packet_count, server.net_in_packet_count_per_s, server.net_out_packet_count, server.net_out_packet_count_per_s, server.net_packet_count_per_s"
server.mem_free_util_pct,"server.cpu_active_count, server.cpu_clock_speed_mhz, server.cpu_core_count, server.cpu_count, server.cpu_idle_time_s, server.cpu_interrupt_util_pct, server.cpu_run_queue, server.cpu_sys_mode_util_pct, server.cpu_thread_count, server.cpu_total_time_s, server.cpu_user_mode_util_pct, server.cpu_util_pct, server.cpu_wait_time_s, server.cpu_wait_util_pct, server.load_avg_1min, server.mem_cache_mb, server.mem_cache_util_pct, server.mem_file_page_cache_mb, server.mem_file_page_cache_util_pct, server.mem_free_mb, server.mem_page_request_count_per_s, server.mem_pagein_count_per_s, server.mem_pageout_count_per_s, server.mem_phys_mb, server.mem_sys_mb, server.mem_sys_util_pct, server.mem_user_mb, server.mem_user_util_pct, server.mem_util_pct, server.disk_count, server.disk_peak_util_pct, server.disk_phys_io_count, server.disk_phys_io_count_per_s, server.disk_phys_kbps, server.disk_phys_read_kbps, server.disk_phys_write_kbps, server.disk_request_queue_count, server.fs_peak_util_pct, server.net_collision_count_per_min, server.net_error_count_per_min, server.net_error_count_per_s, server.net_in_packet_count, server.net_in_packet_count_per_s, server.net_out_packet_count, server.net_out_packet_count_per_s, server.net_packet_count_per_s"
server.mem_page_request_count_per_s,"server.cpu_active_count, server.cpu_clock_speed_mhz, server.cpu_core_count, server.cpu_count, server.cpu_idle_time_s, server.cpu_interrupt_util_pct, server.cpu_run_queue, server.cpu_sys_mode_util_pct, server.cpu_thread_count, server.cpu_total_time_s, server.cpu_user_mode_util_pct, server.cpu_util_pct, server.cpu_wait_time_s, server.cpu_wait_util_pct, server.load_avg_1min, server.mem_cache_mb, server.mem_cache_util_pct, server.mem_file_page_cache_mb, server.mem_file_page_cache_util_pct, server.mem_free_mb, server.mem_free_util_pct, server.mem_pagein_count_per_s, server.mem_pageout_count_per_s, server.mem_phys_mb, server.mem_sys_mb, server.mem_sys_util_pct, server.mem_user_mb, server.mem_user_util_pct, server.mem_util_pct, server.disk_count, server.disk_peak_util_pct, server.disk_phys_io_count, server.disk_phys_io_count_per_s, server.disk_phys_kbps, server.disk_phys_read_kbps, server.disk_phys_write_kbps, server.disk_request_queue_count, server.fs_peak_util_pct, server.net_collision_count_per_min, server.net_error_count_per_min, server.net_error_count_per_s, server.net_in_packet_count, server.net_in_packet_count_per_s, server.net_out_packet_count, server.net_out_packet_count_per_s, server.net_packet_count_per_s"
server.mem_pagein_count_per_s,"server.cpu_active_count, server.cpu_clock_speed_mhz, server.cpu_core_count, server.cpu_count, server.cpu_idle_time_s, server.cpu_interrupt_util_pct, server.cpu_run_queue, server.cpu_sys_mode_util_pct, server.cpu_thread_count, server.cpu_total_time_s, server.cpu_user_mode_util_pct, server.cpu_util_pct, server.cpu_wait_time_s, server.cpu_wait_util_pct, server.load_avg_1min, server.mem_cache_mb, server.mem_cache_util_pct, server.mem_file_page_cache_mb, server.mem_file_page_cache_util_pct, server.mem_free_mb, server.mem_free_util_pct, server.mem_page_request_count_per_s, server.mem_pageout_count_per_s, server.mem_phys_mb, server.mem_sys_mb, server.mem_sys_util_pct, server.mem_user_mb, server.mem_user_util_pct, server.mem_util_pct, server.disk_count, server.disk_peak_util_pct, server.disk_phys_io_count, server.disk_phys_io_count_per_s, server.disk_phys_kbps, server.disk_phys_read_kbps, server.disk_phys_write_kbps, server.disk_request_queue_count, server.fs_peak_util_pct, server.net_collision_count_per_min, server.net_error_count_per_min, server.net_error_count_per_s, server.net_in_packet_count, server.net_in_packet_count_per_s, server.net_out_packet_count, server.net_out_packet_count_per_s, server.net_packet_count_per_s"
server.mem_pageout_count_per_s,"server.cpu_active_count, server.cpu_clock_speed_mhz, server.cpu_core_count, server.cpu_count, server.cpu_idle_time_s, server.cpu_interrupt_util_pct, server.cpu_run_queue, server.cpu_sys_mode_util_pct, server.cpu_thread_count, server.cpu_total_time_s, server.cpu_user_mode_util_pct, server.cpu_util_pct, server.cpu_wait_time_s, server.cpu_wait_util_pct, server.load_avg_1min, server.mem_cache_mb, server.mem_cache_util_pct, server.mem_file_page_cache_mb, server.mem_file_page_cache_util_pct, server.mem_free_mb, server.mem_free_util_pct, server.mem_page_request_count_per_s, server.mem_pagein_count_per_s, server.mem_phys_mb, server.mem_sys_mb, server.mem_sys_util_pct, server.mem_user_mb, server.mem_user_util_pct, server.mem_util_pct, server.disk_count, server.disk_peak_util_pct, server.disk_phys_io_count, server.disk_phys_io_count_per_s, server.disk_phys_kbps, server.disk_phys_read_kbps, server.disk_phys_write_kbps, server.disk_request_queue_count, server.fs_peak_util_pct, server.net_collision_count_per_min, server.net_error_count_per_min, server.net_error_count_per_s, server.net_in_packet_count, server.net_in_packet_count_per_s, server.net_out_packet_count, server.net_out_packet_count_per_s, server.net_packet_count_per_s"
server.mem_phys_mb,"server.cpu_active_count, server.cpu_clock_speed_mhz, server.cpu_core_count, server.cpu_count, server.cpu_idle_time_s, server.cpu_interrupt_util_pct, server.cpu_run_queue, server.cpu_sys_mode_util_pct, server.cpu_thread_count, server.cpu_total_time_s, server.cpu_user_mode_util_pct, server.cpu_util_pct, server.cpu_wait_time_s, server.cpu_wait_util_pct, server.load_avg_1min, server.mem_cache_mb, server.mem_cache_util_pct, server.mem_file_page_cache_mb, server.mem_file_page_cache_util_pct, server.mem_free_mb, server.mem_free_util_pct, server.mem_page_request_count_per_s, server.mem_pagein_count_per_s, server.mem_pageout_count_per_s, server.mem_sys_mb, server.mem_sys_util_pct, server.mem_user_mb, server.mem_user_util_pct, server.mem_util_pct, server.disk_count, server.disk_peak_util_pct, server.disk_phys_io_count, server.disk_phys_io_count_per_s, server.disk_phys_kbps, server.disk_phys_read_kbps, server.disk_phys_write_kbps, server.disk_request_queue_count, server.fs_peak_util_pct, server.net_collision_count_per_min, server.net_error_count_per_min, server.net_error_count_per_s, server.net_in_packet_count, server.net_in_packet_count_per_s, server.net_out_packet_count, server.net_out_packet_count_per_s, server.net_packet_count_per_s"
server.mem_sys_mb,"server.cpu_active_count, server.cpu_clock_speed_mhz, server.cpu_core_count, server.cpu_count, server.cpu_idle_time_s, server.cpu_interrupt_util_pct, server.cpu_run_queue, server.cpu_sys_mode_util_pct, server.cpu_thread_count, server.cpu_total_time_s, server.cpu_user_mode_util_pct, server.cpu_util_pct, server.cpu_wait_time_s, server.cpu_wait_util_pct, server.load_avg_1min, server.mem_cache_mb, server.mem_cache_util_pct, server.mem_file_page_cache_mb, server.mem_file_page_cache_util_pct, server.mem_free_mb, server.mem_free_util_pct, server.mem_page_request_count_per_s, server.mem_pagein_count_per_s, server.mem_pageout_count_per_s, server.mem_phys_mb, server.mem_sys_util_pct, server.mem_user_mb, server.mem_user_util_pct, server.mem_util_pct, server.disk_count, server.disk_peak_util_pct, server.disk_phys_io_count, server.disk_phys_io_count_per_s, server.disk_phys_kbps, server.disk_phys_read_kbps, server.disk_phys_write_kbps, server.disk_request_queue_count, server.fs_peak_util_pct, server.net_collision_count_per_min, server.net_error_count_per_min, server.net_error_count_per_s, server.net_in_packet_count, server.net_in_packet_count_per_s, server.net_out_packet_count, server.net_out_packet_count_per_s, server.net_packet_count_per_s"
server.mem_sys_util_pct,"server.cpu_active_count, server.cpu_clock_speed_mhz, server.cpu_core_count, server.cpu_count, server.cpu_idle_time_s, server.cpu_interrupt_util_pct, server.cpu_run_queue, server.cpu_sys_mode_util_pct, server.cpu_thread_count, server.cpu_total_time_s, server.cpu_user_mode_util_pct, server.cpu_util_pct, server.cpu_wait_time_s, server.cpu_wait_util_pct, server.load_avg_1min, server.mem_cache_mb, server.mem_cache_util_pct, server.mem_file_page_cache_mb, server.mem_file_page_cache_util_pct, server.mem_free_mb, server.mem_free_util_pct, server.mem_page_request_count_per_s, server.mem_pagein_count_per_s, server.mem_pageout_count_per_s, server.mem_phys_mb, server.mem_sys_mb, server.mem_user_mb, server.mem_user_util_pct, server.mem_util_pct, server.disk_count, server.disk_peak_util_pct, server.disk_phys_io_count, server.disk_phys_io_count_per_s, server.disk_phys_kbps, server.disk_phys_read_kbps, server.disk_phys_write_kbps, server.disk_request_queue_count, server.fs_peak_util_pct, server.net_collision_count_per_min, server.net_error_count_per_min, server.net_error_count_per_s, server.net_in_packet_count, server.net_in_packet_count_per_s, server.net_out_packet_count, server.net_out_packet_count_per_s, server.net_packet_count_per_s"
server.mem_user_mb,"server.cpu_active_count, server.cpu_clock_speed_mhz, server.cpu_core_count, server.cpu_count, server.cpu_idle_time_s, server.cpu_interrupt_util_pct, server.cpu_run_queue, server.cpu_sys_mode_util_pct, server.cpu_thread_count, server.cpu_total_time_s, server.cpu_user_mode_util_pct, server.cpu_util_pct, server.cpu_wait_time_s, server.cpu_wait_util_pct, server.load_avg_1min, server.mem_cache_mb, server.mem_cache_util_pct, server.mem_file_page_cache_mb, server.mem_file_page_cache_util_pct, server.mem_free_mb, server.mem_free_util_pct, server.mem_page_request_count_per_s, server.mem_pagein_count_per_s, server.mem_pageout_count_per_s, server.mem_phys_mb, server.mem_sys_mb, server.mem_sys_util_pct, server.mem_user_util_pct, server.mem_util_pct, server.disk_count, server.disk_peak_util_pct, server.disk_phys_io_count, server.disk_phys_io_count_per_s, server.disk_phys_kbps, server.disk_phys_read_kbps, server.disk_phys_write_kbps, server.disk_request_queue_count, server.fs_peak_util_pct, server.net_collision_count_per_min, server.net_error_count_per_min, server.net_error_count_per_s, server.net_in_packet_count, server.net_in_packet_count_per_s, server.net_out_packet_count, server.net_out_packet_count_per_s, server.net_packet_count_per_s"
server.mem_user_util_pct,"server.cpu_active_count, server.cpu_clock_speed_mhz, server.cpu_core_count, server.cpu_count, server.cpu_idle_time_s, server.cpu_interrupt_util_pct, server.cpu_run_queue, server.cpu_sys_mode_util_pct, server.cpu_thread_count, server.cpu_total_time_s, server.cpu_user_mode_util_pct, server.cpu_util_pct, server.cpu_wait_time_s, server.cpu_wait_util_pct, server.load_avg_1min, server.mem_cache_mb, server.mem_cache_util_pct, server.mem_file_page_cache_mb, server.mem_file_page_cache_util_pct, server.mem_free_mb, server.mem_free_util_pct, server.mem_page_request_count_per_s, server.mem_pagein_count_per_s, server.mem_pageout_count_per_s, server.mem_phys_mb, server.mem_sys_mb, server.mem_sys_util_pct, server.mem_user_mb, server.mem_util_pct, server.disk_count, server.disk_peak_util_pct, server.disk_phys_io_count, server.disk_phys_io_count_per_s, server.disk_phys_kbps, server.disk_phys_read_kbps, server.disk_phys_write_kbps, server.disk_request_queue_count, server.fs_peak_util_pct, server.net_collision_count_per_min, server.net_error_count_per_min, server.net_error_count_per_s, server.net_in_packet_count, server.net_in_packet_count_per_s, server.net_out_packet_count, server.net_out_packet_count_per_s, server.net_packet_count_per_s"
server.mem_util_pct,"server.cpu_active_count, server.cpu_clock_speed_mhz, server.cpu_core_count, server.cpu_count, server.cpu_idle_time_s, server.cpu_interrupt_util_pct, server.cpu_run_queue, server.cpu_sys_mode_util_pct, server.cpu_thread_count, server.cpu_total_time_s, server.cpu_user_mode_util_pct, server.cpu_util_pct, server.cpu_wait_time_s, server.cpu_wait_util_pct, server.load_avg_1min, server.mem_cache_mb, server.mem_cache_util_pct, server.mem_file_page_cache_mb, server.mem_file_page_cache_util_pct, server.mem_free_mb, server.mem_free_util_pct, server.mem_page_request_count_per_s, server.mem_pagein_count_per_s, server.mem_pageout_count_per_s, server.mem_phys_mb, server.mem_sys_mb, server.mem_sys_util_pct, server.mem_user_mb, server.mem_user_util_pct, server.disk_count, server.disk_peak_util_pct, server.disk_phys_io_count, server.disk_phys_io_count_per_s, server.disk_phys_kbps, server.disk_phys_read_kbps, server.disk_phys_write_kbps, server.disk_request_queue_count, server.fs_peak_util_pct, server.net_collision_count_per_min, server.net_error_count_per_min, server.net_error_count_per_s, server.net_in_packet_count, server.net_in_packet_count_per_s, server.net_out_packet_count, server.net_out_packet_count_per_s, server.net_packet_count_per_s"
